 ZIP Code,Year,AnnualChange (%),HPI,HPI with 1990 base,HPI with 2000 base,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
77845,2017,3.02,282.99,239.27,176.11,48041002014,COLLEGE STATION,TX,0.034668847,0.018994413,0.009188361,0.033315161
77845,2017,3.02,282.99,239.27,176.11,48041000202,COLLEGE STATION,TX,0.009255928,0.054748603,0.02143951,0.011963172
77868,2017,-5.26,160.4,.,.,48041002011,NAVASOTA,TX,0.033396807,0.020676692,0,0.031968967
77868,2017,-5.26,160.4,.,.,48041002010,NAVASOTA,TX,0.044236121,0.028195489,0,0.042402354
78045,2017,4.72,222.36,209.23,153.65,48479001710,LAREDO,TX,0.018597574,0.085037675,0.089552239,0.027025029
78101,2017,7.92,215.88,.,192.71,48029141900,ADKINS,TX,0.183263598,0.4,0.365758755,0.200912085
78101,2017,7.92,215.88,.,192.71,48029131802,ADKINS,TX,0.286471409,0.40952381,0.447470817,0.300228021
78109,2017,9.9,202.71,.,188.84,48029131606,CONVERSE,TX,0.127558448,0.032644178,0.04109589,0.12322391
78109,2017,9.9,202.71,.,188.84,48029131802,CONVERSE,TX,0.036010962,0.056583243,0.123287671,0.037563286
78109,2017,9.9,202.71,.,188.84,48029121501,CONVERSE,TX,0.067397448,0.029379761,0.127853881,0.066511514
78152,2017,6.44,159.92,.,.,48029131802,SAINT HEDWIG,TX,0.393864598,0.28,0.094594595,0.385349233
78209,2017,4.21,634.17,382.13,234.89,48029120400,SAN ANTONIO,TX,0.111634883,0.013875444,0.020625889,0.096156609
78212,2017,7.45,332.35,370.15,230.15,48029110900,SAN ANTONIO,TX,0.016310996,0.02866242,0.015288788,0.017849621
78216,2017,4.39,201.33,240.95,193.83,48029191701,SAN ANTONIO,TX,0.002179071,0.010881161,0.008394544,0.003955726
78219,2017,14.18,150.69,.,.,48029131504,SAN ANTONIO,TX,0.253343582,0.102304147,0.084745763,0.227319192
78219,2017,14.18,150.69,.,.,48029131506,SAN ANTONIO,TX,0.045657187,0.070967742,0.021186441,0.048428316
78219,2017,14.18,150.69,.,.,48029131802,SAN ANTONIO,TX,0.002152191,0.014746544,0.008474576,0.004088934
78220,2017,32.49,121.79,.,.,48029131506,SAN ANTONIO,TX,0.002709462,0.011583012,0,0.003287929
78220,2017,32.49,121.79,.,.,48029131802,SAN ANTONIO,TX,0.017507295,0.045045045,0.033088235,0.019915453
78221,2017,0.8,154.98,.,.,48029152100,SAN ANTONIO,TX,0.025094187,0.003791469,0.1301059,0.027925211
78222,2017,13.94,182.07,.,187.37,48029141900,SAN ANTONIO,TX,0.009004293,0.004056795,0.072289157,0.009794319
78223,2017,8.18,212.93,.,190.16,48029141900,SAN ANTONIO,TX,0.02438708,0.04217356,0.089953271,0.027482551
